candidate_uid,name,sex,ethnicity,dob
1479,Meriam binti Mohamad,F,Malay,1933-08-30
1480,Syed Abdullah bin Syed Ali,M,Malay,xxxx-xx-xx
1481,Chan Kwang Chek,M,Chinese,xxxx-xx-xx
1482,Shaikh Abdullah bin Abu Bakar,M,Malay,xxxx-xx-xx
1483,Mohd. Sham bin Awang,M,Malay,xxxx-xx-xx
1484,Abdul Aziz bin Ahmad,M,Malay,xxxx-xx-xx
1485,Mohamad bin Abdullah,M,Malay,xxxx-xx-xx
1486,Tengku Bahaznan Shah bin Tengku Mahmud,M,Malay,xxxx-xx-xx
1487,Mohamed Mokhtar bin Mohd Daud,M,Malay,xxxx-xx-xx
1488,Abu Bakar bin Mat Zin,M,Malay,xxxx-xx-xx
1489,Abdul Hak bin Haji Fadzil,M,Malay,xxxx-xx-xx
1490,Mohamed bin Yaakub,M,Malay,1940-08-12
1491,Othman bin Imam Awang,M,Malay,xxxx-xx-xx
1492,Zulkifly bin Mat Amin (Abu Samah),M,Malay,xxxx-xx-xx
1493,Darus bin Hashim,M,Malay,xxxx-xx-xx
1494,Tayub bin Abdullah,M,Malay,1933-01-06
1495,Mohd Arif bin Mohamed,M,Malay,xxxx-xx-xx
1496,Abdul Moin bin Mohd Taib,M,Malay,xxxx-xx-xx
1497,Ishak bin Abdullah,M,Malay,1936-xx-xx
1498,Wan Ibrahim bin Wan Dol,M,Malay,xxxx-xx-xx
1499,S. Gopal,M,Indian,xxxx-xx-xx
1500,Ong Seong Seung,M,Chinese,xxxx-xx-xx
1501,Kesah bin Mohamed,M,Malay,xxxx-xx-xx
1502,Ismail bin Hussain,M,Malay,xxxx-xx-xx
1503,Solahuddin bin Mohd Ali,M,Malay,xxxx-xx-xx
1504,Hashim bin Mahmood,M,Malay,xxxx-xx-xx
1505,Norhadi bin Kasan Ali,M,Malay,xxxx-xx-xx
1506,Tan Wei Ming,M,Chinese,xxxx-xx-xx
1507,N. S. Maniam,M,Indian,xxxx-xx-xx
1508,Solahuddin bin Hussin,M,Malay,xxxx-xx-xx
1509,Tee Guan Seng,M,Chinese,xxxx-xx-xx
1510,Jarmani bin Md. Umar,M,Malay,xxxx-xx-xx
1511,Low Wah Lean,M,Chinese,xxxx-xx-xx
1512,Lim Cy Howe,M,Chinese,xxxx-xx-xx
1513,Oon Seng Lee,M,Chinese,xxxx-xx-xx
1514,Mohd. Anwar,M,Malay,xxxx-xx-xx
1515,Azai bin Karim,M,Malay,xxxx-xx-xx
1516,Zainuddin bin Mohd. Sidin,M,Malay,xxxx-xx-xx
1517,Mohamed Samah bin Arshad,M,Malay,xxxx-xx-xx
1518,Muhyeeddin Zakaria,M,Malay,xxxx-xx-xx
1519,Zakaria Yusof,M,Malay,xxxx-xx-xx
1520,P.T. Arasu,M,Indian,xxxx-xx-xx
1521,Lim Phaik Gan,F,Chinese,1915-06-29
1522,Goh Hock Guan,M,Chinese,1935-09-09
1523,Cheong Thiam Leong,M,Chinese,xxxx-xx-xx
1524,Seow Yu Boon,M,Chinese,xxxx-xx-xx
1525,Woo Hon Kong,M,Chinese,xxxx-xx-xx
1526,Goh Keng Fook,M,Chinese,xxxx-xx-xx
1527,Loong Foong Beng,M,Chinese,xxxx-xx-xx
1528,Gan Yong Ming,M,Chinese,xxxx-xx-xx
1529,Ching Tow Fah,M,Chinese,xxxx-xx-xx
1530,Chin Kek Kum,M,Chinese,xxxx-xx-xx
1531,M. Rajamanickam,M,Indian,xxxx-xx-xx
1532,Nadaraja A/L Muthu Thamby,M,Indian,xxxx-xx-xx
1533,Mohd. Hussain bin Sukor,M,Malay,xxxx-xx-xx
1534,Raja Zulkifli bin Raja Borhan,M,Malay,xxxx-xx-xx
1535,Eng Tai Seng,M,Chinese,xxxx-xx-xx
1536,Gan Kim Leng,M,Chinese,xxxx-xx-xx
1537,Tanawi bin Dahlan,M,Malay,xxxx-xx-xx
1538,Hormat bin Rafei,M,Malay,1923-06-21
1539,Harun bin Idris,M,Malay,1925-12-22
1540,Raja Nong Chik bin Raja Ishak,M,Malay,xxxx-xx-xx
1541,Hew Koon Fah,M,Chinese,xxxx-xx-xx
1542,Ng Kim Chuan,M,Chinese,xxxx-xx-xx
1543,Lope Salleh bin Long,M,Malay,1919-xx-xx
1544,Mohd Zaini bin Sanusi,M,Malay,xxxx-xx-xx
1545,Zakaria bin Ismail,M,Malay,xxxx-xx-xx
1546,Shoib bin Ahmad,M,Malay,xxxx-xx-xx
1547,Teh Boon Poh,M,Chinese,xxxx-xx-xx
1548,Anthony Lim Joo Hoa,M,Chinese,xxxx-xx-xx
1549,H. Ondot bin Jimak,M,Malay,xxxx-xx-xx
1550,Sapiah binti Talib,F,Malay,xxxx-xx-xx
1551,Harun bin Mulop,M,Malay,xxxx-xx-xx
1552,Tan Fot Lan,M,Chinese,xxxx-xx-xx
1553,Abd. Kadir bin Abdullah,M,Malay,1938-04-22
1554,Sulaiman bin Idris,M,Malay,xxxx-xx-xx
1555,Chai Tak Han (Ham),M,Chinese,xxxx-xx-xx
1556,Rajaratnam A/L Chellapah,M,Indian,xxxx-xx-xx
1557,Ayakannu A/L Vallisamy,M,Indian,xxxx-xx-xx
1558,Lam Teck Choon,M,Chinese,xxxx-xx-xx
1559,Lai Pong Yuen,M,Chinese,xxxx-xx-xx
1560,Yim Chee Chong,M,Chinese,xxxx-xx-xx
1561,Ong Ping Ling,M,Chinese,xxxx-xx-xx
1562,M. S. Maniam,M,Indian,xxxx-xx-xx
1563,Ahmad Fuad bin Yusof,M,Malay,xxxx-xx-xx
1564,Ab Rahman Mohammad,M,Malay,xxxx-xx-xx
1565,Ab Rahman bin Ali,M,Malay,xxxx-xx-xx
1566,Mohd Shariff bin Harun,M,Malay,xxxx-xx-xx
1567,Othman bin Lisut,M,Malay,xxxx-xx-xx
1568,Kwa Kim Poh,M,Chinese,xxxx-xx-xx
1569,Lim Heng Seng,M,Chinese,xxxx-xx-xx
1570,Ojager Tara Singh,M,Other,xxxx-xx-xx
1571,Tan Cheng Kiat,M,Chinese,xxxx-xx-xx
1572,Yong On,M,Chinese,xxxx-xx-xx
1573,K. Thangaraju,M,Indian,xxxx-xx-xx
1574,Yeoh Thian Sang,M,Chinese,xxxx-xx-xx
1575,Ismail bin Tahat (Tahar),M,Malay,xxxx-xx-xx
1576,Sulaiman bin Jaalam,M,Malay,xxxx-xx-xx
1577,Mustapah bin Taib,M,Malay,xxxx-xx-xx
1578,Ong Boon Hong,M,Chinese,xxxx-xx-xx
1579,Daud bin Ahmad,M,Malay,xxxx-xx-xx
1580,Sulaiman bin Mohd. Amin,M,Malay,xxxx-xx-xx
1581,Abdul Aziz bin Ruslan,M,Malay,xxxx-xx-xx
1582,Ng Poh Loh (Wu Pau Lu),M,Chinese,xxxx-xx-xx
1583,Noordin bin Kohat,M,Malay,xxxx-xx-xx
1584,Lee Wee Choy,M,Chinese,xxxx-xx-xx
1585,Tham Kin Sung,M,Chinese,xxxx-xx-xx
1586,M. Hashim bin Abdullah,M,Malay,xxxx-xx-xx
1587,Ibrahim bin H. Md. Sol,M,Malay,xxxx-xx-xx
1588,Abas bin Jasin,M,Malay,xxxx-xx-xx
1589,Kamarudin bin Ujang,M,Malay,xxxx-xx-xx
1590,Zainal Abidin bin Mohd. Lati,M,Malay,xxxx-xx-xx
1591,Ibrahim bin Baba,M,Malay,xxxx-xx-xx
1592,Leong Yew Soong,M,Chinese,xxxx-xx-xx
1593,Abdul Razak bin Shamsuddin,M,Malay,xxxx-xx-xx
1594,Ahmad bin Abdul Manaf,M,Malay,xxxx-xx-xx
1595,Woo Thong,M,Chinese,1929-07-15
1596,Ong Seong Sai,M,Chinese,xxxx-xx-xx
1597,Ng Lian Huat,M,Chinese,xxxx-xx-xx
1598,Manap bin Mohd,M,Malay,xxxx-xx-xx
1599,Syed Tahir bin Jaffar,M,Malay,xxxx-xx-xx
1600,Ab. Manan bin Ismail,M,Malay,xxxx-xx-xx
1601,Sayid Abdoellah bin Ahmad Alai Droes,M,Malay,xxxx-xx-xx
1602,Thamby bin Hassan,M,Malay,xxxx-xx-xx
1603,Hashim bin Pit,M,Malay,xxxx-xx-xx
1604,Khalid bin Tabob,M,Malay,xxxx-xx-xx
1605,Ab. Aziz bin Rahmat,M,Malay,xxxx-xx-xx
1606,Abd. Hadi bin Abas,M,Malay,xxxx-xx-xx
1607,Koh Kay Cham,M,Chinese,1938-06-29
1608,Ng Chear Chim,M,Chinese,xxxx-xx-xx
1609,Ng Chong Chee,M,Chinese,1926-01-15
1610,Tan Choo Chai,M,Chinese,xxxx-xx-xx
1611,Yeow Ker Yan,M,Chinese,xxxx-xx-xx
1612,Yoong Yong Pow,M,Chinese,xxxx-xx-xx
1613,Mah Khye Boh,M,Chinese,xxxx-xx-xx
1614,L. F. D'Silva,M,Other,xxxx-xx-xx
1615,Charlie Leong,M,Chinese,xxxx-xx-xx
1616,Hussain bin Hassan,M,Malay,xxxx-xx-xx
1617,Mohamed Din bin Daud,M,Malay,xxxx-xx-xx
1618,Ab. Latiff bin Md. Yassin,M,Malay,xxxx-xx-xx
1619,Abdul Ghani bin Ali,M,Malay,1923-11-26
1620,Abdul Rahim bin Basir,M,Malay,xxxx-xx-xx
1621,Abdul Rahman bin Hassan,M,Malay,xxxx-xx-xx
1622,Mohd. Yusoff bin Ishak,M,Malay,xxxx-xx-xx
1623,Mohd. Jan bin Dolmat,M,Malay,xxxx-xx-xx
1624,Mohamed Ali bin Hashim,M,Malay,xxxx-xx-xx
1625,Abdul Manaf bin Sidin,M,Malay,xxxx-xx-xx
1626,Abdullah bin Ismail,M,Malay,xxxx-xx-xx
1627,Hong Wee Ju,M,Chinese,xxxx-xx-xx
1628,Ahmad bin Joned,M,Malay,xxxx-xx-xx
1629,Embi bin Long,M,Malay,xxxx-xx-xx
1630,Abdullah bin Mat Amin,M,Malay,1928-11-06
1631,Ab. Ghani bin Ahmad,M,Malay,1933-11-23
1632,Omar bin Abdullah,M,Malay,xxxx-xx-xx
1633,Ali bin Omar,M,Malay,1937-09-28
1634,Md. Nassir bin Bakar,M,Malay,xxxx-xx-xx
1635,Teo Ah Khiang (Chiang Kee Foon),M,Chinese,1936-05-12
1636,Lai Hee Sang,M,Chinese,1940-03-17
1637,Sani bin Mohd. Taha,M,Malay,xxxx-xx-xx
1638,Sim Kim Chong,M,Chinese,xxxx-xx-xx
1639,Soi Beng,M,Chinese,1939-10-22
1640,Tan Kor Chee,M,Chinese,1921-03-16
1641,Che Sairan bin Sabtu,M,Malay,xxxx-xx-xx
1642,Md. Salleh bin Zainuddin,M,Malay,xxxx-xx-xx
1643,Othman bin Taib,M,Malay,xxxx-xx-xx
1644,Mohd. Salleh bin Tahir,M,Malay,xxxx-xx-xx
1645,Lam Poo Chin,M,Chinese,1940-06-23
1646,Lee Ah Gu,M,Chinese,xxxx-xx-xx
1647,Abdul Aziz bin Sadri,M,Malay,xxxx-xx-xx
1648,Tan Kau Ngee,M,Chinese,1939-12-13
1649,Chang King Min,M,Chinese,xxxx-xx-xx
1650,Mohd. Lana bin Mohd. Salleh,M,Malay,xxxx-xx-xx
1651,Mohamed Daud bin Abdul Molok,M,Malay,xxxx-xx-xx
1652,Yusa bin Nawawi,M,Malay,xxxx-xx-xx
1653,Siew Teng Yhoi,M,Chinese,xxxx-xx-xx
1654,Ng Wei Siong,M,Chinese,xxxx-xx-xx
1655,Loh Fook Yen,M,Chinese,xxxx-xx-xx
1656,Mansor bin Salleh,M,Malay,xxxx-xx-xx
1657,Chia Chong Sing,M,Chinese,xxxx-xx-xx
1658,Tan Seng Toon,M,Chinese,1928-09-18
1659,Abdul Aziz bin Abdul Rahman,M,Malay,xxxx-xx-xx
1660,Jalok bin Daing Malibok,M,Malay,1916-xx-xx
1661,Yusoff bin Abd. Hakim,M,Malay,xxxx-xx-xx
1662,Chang Meng Hai,M,Chinese,1933-12-16
1663,Othman bin Mohatam,M,Malay,xxxx-xx-xx
1664,Abdullah bin Sudin,M,Malay,1930-12-31
1665,Syed Ibrahim bin Hussein,M,Malay,xxxx-xx-xx
1666,Lee Bing Hyeok,M,Chinese,xxxx-xx-xx
1667,Daud bin Sulaiman,M,Malay,xxxx-xx-xx
1668,H. L. Tang,M,Chinese,xxxx-xx-xx
1669,Hasnah binti Ahmad,F,Malay,xxxx-xx-xx
1670,Ng Tang Sang,M,Chinese,xxxx-xx-xx
1671,Lokman bin Zakaria,M,Malay,xxxx-xx-xx
1672,Ooyub bin Abdul Manas,M,Malay,xxxx-xx-xx
1673,A. Latiff bin Mohamed,M,Malay,xxxx-xx-xx
1674,Ma'Arof bin Tahir,M,Malay,xxxx-xx-xx
1675,Ibrahim bin A. Razak,M,Malay,xxxx-xx-xx
1676,Daud bin Ahmad,M,Malay,xxxx-xx-xx
1677,Othman bin Jabar,M,Malay,xxxx-xx-xx
1678,Ali bin Raya,M,Malay,xxxx-xx-xx
1679,Wan Mohamad Zain bin Abdullah,M,Malay,xxxx-xx-xx
1680,Hussin bin Md. Salleh,M,Malay,xxxx-xx-xx
1681,A. Ghani bin Elias,M,Malay,xxxx-xx-xx
1682,Raman A/L Krishna Nair,M,Indian,xxxx-xx-xx
1683,Tay Sia Ba,M,Chinese,xxxx-xx-xx
1684,Lim Chong See,M,Chinese,xxxx-xx-xx
1685,Mohamed Shah bin Musa,M,Malay,xxxx-xx-xx
1686,Rapiah binti Hussien,F,Malay,xxxx-xx-xx
1687,Ngah bin Abdul Rahman,M,Malay,xxxx-xx-xx
1688,Tsen Kinsung,M,Chinese,xxxx-xx-xx
1689,Wong Loke Khiam,M,Chinese,xxxx-xx-xx
1690,Mustapha bin Harun,M,Bumi Sabah,1918-07-31
1691,Richard E. Yapp,M,Chinese,xxxx-xx-xx
1692,Andrew Matakim,M,Bumi Sabah,xxxx-xx-xx
1693,Awang Ali bin Osman,M,Bumi Sabah,xxxx-xx-xx
1694,Herman Luping,M,Bumi Sabah,xxxx-xx-xx
1695,Madina bin Unggut,M,Bumi Sabah,1934-08-15
1696,Mohammad Said bin Keruak,M,Bumi Sabah,1925-11-15
1697,Ismail bin Gimbad,M,Bumi Sabah,1940-06-23
1698,Banian bin Noyoh,M,Bumi Sabah,xxxx-xx-xx
1699,Wong John Joenoi,M,Bumi Sabah,xxxx-xx-xx
1700,OKK Indan bin Kari,M,Bumi Sabah,xxxx-xx-xx
1701,Bernard bin Giom,M,Bumi Sabah,xxxx-xx-xx
1702,Payar Juman,M,Bumi Sabah,xxxx-xx-xx
1703,OKK Nonon bin Anad,M,Bumi Sabah,xxxx-xx-xx
1704,Samin bin Mindot,M,Bumi Sabah,xxxx-xx-xx
1705,Kok Fung Chong,M,Chinese,xxxx-xx-xx
1706,Pang Tet Tshung,M,Chinese,1923-12-09
1707,Ng Peng Khun,M,Chinese,xxxx-xx-xx
1708,Spencer Lim Lai Mun,M,Chinese,xxxx-xx-xx
1709,Lee Vui Min,M,Chinese,xxxx-xx-xx
1710,George Chin Kok Min,M,Chinese,xxxx-xx-xx
1711,Awid Mail,M,Bumi Sabah,xxxx-xx-xx
1712,Thomas Jayasuriya,M,Bumi Sabah,xxxx-xx-xx
1713,James Voon Kyam Kuin,M,Chinese,xxxx-xx-xx
1714,Chin Kui Sai,M,Chinese,xxxx-xx-xx
1715,Alex Ng,M,Chinese,xxxx-xx-xx
1716,Peter Joinod Mojuntin,M,Bumi Sabah,1939-10-11
1717,Jumah bin Sallim,M,Bumi Sabah,xxxx-xx-xx
1718,Fred Sinidol,M,Bumi Sabah,1924-xx-xx
1719,Pengiran Abu Bakar bin Pengiran Ahmad,M,Bumi Sabah,xxxx-xx-xx
1720,Sherzeman Mulkiaman Sherzeman,M,Bumi Sabah,xxxx-xx-xx
1721,Awang anak bin Thaufeck,M,Bumi Sabah,xxxx-xx-xx
1722,Fadzil Wong Fook Siang,M,Chinese,xxxx-xx-xx
1723,Abdullah bin Anson,M,Bumi Sabah,xxxx-xx-xx
1724,Lucas Kong Thiam Sinn,M,Chinese,xxxx-xx-xx
1725,Mohd. Dun bin Banir,M,Bumi Sabah,xxxx-xx-xx
1726,Mohammad Yassin bin Buraw,M,Bumi Sabah,xxxx-xx-xx
1727,Asneh bin Hassan,M,Bumi Sabah,xxxx-xx-xx
1728,Mohd. Yassin bin Hashim,M,Bumi Sabah,xxxx-xx-xx
1729,Yaakub Tingkalor bin Lampang,M,Bumi Sabah,xxxx-xx-xx
1730,Sadum Agong,M,Bumi Sabah,xxxx-xx-xx
1731,Harris bin Mohd Salleh,M,Bumi Sabah,1930-11-04
1732,Anthony Undan bin Andulag,M,Bumi Sabah,xxxx-xx-xx
1733,R. M. Jasni,M,Bumi Sabah,xxxx-xx-xx
1734,Suffian Koroh (Stephen),M,Bumi Sabah,1930-06-06
1735,Abu Bakar bin OKK Anik (Untong),M,Bumi Sabah,xxxx-xx-xx
1736,Abdul Ghani Gilong,M,Bumi Sabah,1932-05-30
1737,Amin bin Mohammad Ali,M,Bumi Sabah,xxxx-xx-xx
1738,Joseph Marcus Podtung,M,Bumi Sabah,xxxx-xx-xx
1739,Anthony Gibon,M,Bumi Sabah,xxxx-xx-xx
1740,Primus,M,Bumi Sabah,xxxx-xx-xx
1741,Ong Shih Chang,M,Chinese,xxxx-xx-xx
1742,Ng Ah Kiew,M,Chinese,xxxx-xx-xx
1743,Khoo Siak Chiew,M,Chinese,xxxx-xx-xx
1744,Chong Thien Vun,M,Chinese,1935-xx-xx
1745,Yap Pak Leong,M,Chinese,1935-05-09
1746,Peter Lo Su Yin,M,Chinese,1923-05-19
1747,Nasrun Lunsui,M,Bumi Sabah,xxxx-xx-xx
1748,Kangkawang bin Kulang,M,Bumi Sabah,1937-01-21
1749,Thomas Lo Pin Fah,M,Chinese,1925-06-14
1750,Jimmy bin Malis (James),M,Bumi Sabah,xxxx-xx-xx
1751,Salleh bin O.T. Otik,M,Bumi Sabah,xxxx-xx-xx
1752,Aliuddin bin Harun,M,Bumi Sabah,1930-xx-xx
1753,Simon Chong Nyuk Kim,M,Chinese,xxxx-xx-xx
1754,Abdul Aziz bin Md Said,M,Bumi Sabah,1919-01-07
1755,Philip Niun,M,Bumi Sabah,xxxx-xx-xx
1756,Galpam bin Indar,M,Bumi Sabah,xxxx-xx-xx
1757,Salleh Sulong,M,Bumi Sabah,1938-xx-xx
1758,Tan Chong Ming,M,Chinese,xxxx-xx-xx
1759,Sakaran bin Dandai,M,Bumi Sabah,1930-04-15
1760,Abdul Gafar bin Hamulawan,M,Bumi Sabah,xxxx-xx-xx
1761,Mohammed Kassim bin Kamidin,M,Bumi Sabah,xxxx-xx-xx
1762,Ampong bin Kerahu,M,Bumi Sabah,xxxx-xx-xx
1763,Tai Yau Khiun,M,Chinese,xxxx-xx-xx
1764,Robert Cheng,M,Chinese,xxxx-xx-xx
1765,Richard Lee,M,Chinese,xxxx-xx-xx
1766,Stephen Chan Tze Hung,M,Chinese,1936-12-19
1767,Edwin Chan Foo Sang,M,Chinese,xxxx-xx-xx
1768,Kassim bin Ahmad,M,Malay,1933-09-09
1769,Mawardi bin Teh,M,Malay,xxxx-xx-xx
1770,Abdul Aziz bin Abdullah,M,Malay,1934-xx-xx
1771,Ahmad bin Othman,M,Malay,1941-05-01
1772,Abdul Rashid bin Abdul Razak Afandi,M,Malay,xxxx-xx-xx
1773,Md. Daud bin Abdullah,M,Malay,1942-xx-xx
1774,Bibi Aishah binti Hamid Don,F,Malay,1929-xx-xx
1775,Md. Zahari bin Shaari,M,Malay,1935-09-28
1776,Abdul Aziz bin Omar,M,Malay,xxxx-xx-xx
1777,Nik Abdul Aziz bin Nik Mat,M,Malay,1931-01-10
1778,Mohamed Salleh bin Ibrahim,M,Malay,xxxx-xx-xx
1779,Tengku Ahmad Rithauddeen bin Tengku Ismail,M,Malay,1928-01-24
1780,Wan Hashim bin Wan Ahmad,M,Malay,xxxx-xx-xx
1781,Ahmad bin Idris,M,Malay,xxxx-xx-xx
1782,Ali bin Husin,M,Malay,xxxx-xx-xx
1783,Tengku Zaid bin Tengku Ahmad,M,Malay,1932-12-08
1784,Dusuki bin Ahmad,M,Malay,xxxx-xx-xx
1785,Abdullah bin Mahmood,M,Malay,xxxx-xx-xx
1786,Mohamed bin Yaacob,M,Malay,1926-01-03
1787,Hussain bin Sulaiman,M,Malay,xxxx-xx-xx
1788,Syed Shafie bin Tuan Baharu,M,Malay,xxxx-xx-xx
1789,Othman bin Abd. Karim,M,Malay,xxxx-xx-xx
1790,Mustapha bin Abdul Majeed,M,Malay,xxxx-xx-xx
1791,Mustapha bin Hussain,M,Malay,xxxx-xx-xx
1792,Snawi bin Ismail,M,Malay,xxxx-xx-xx
1793,Wab bin Salleh,M,Malay,xxxx-xx-xx
1794,Peter Dason a/l Muthu Jaha Dason (Peter Paul Dason),M,Indian,1934-xx-xx
1795,Gabriel Thomas Selvaraj,M,Indian,xxxx-xx-xx
1796,Chua Teng Siew,M,Chinese,xxxx-xx-xx
1797,Lim Chong Hai,M,Chinese,xxxx-xx-xx
1798,Musa bin Mohd Yatim,M,Malay,xxxx-xx-xx
1799,Din bin Jusoh,M,Malay,xxxx-xx-xx
1800,Raja Danif bin Raja Shaharuddin,M,Malay,xxxx-xx-xx
1801,Sulaiman bin Taib,M,Malay,xxxx-xx-xx
1802,Mohamed Jaafar bin Ibrahim,M,Malay,xxxx-xx-xx
1803,Mat Saman bin Mohamed,M,Malay,1922-xx-xx
1804,Ng Hoe Hun,M,Chinese,1934-xx-xx
1805,Mohamed Tahir bin Abdul Rauf,M,Malay,xxxx-xx-xx
1806,Ahmad Damanhuri bin Abdul Wahab,M,Malay,xxxx-xx-xx
1807,Abdul Aziz bin Othman,M,Malay,xxxx-xx-xx
1808,Abdul Mutalib bin Mohd. Tahir,M,Malay,xxxx-xx-xx
1809,Hashim bin Gera,M,Malay,xxxx-xx-xx
1810,Su Liang Yu,M,Chinese,1934-xx-xx
1811,Chew Biow Choun,M,Chinese,xxxx-xx-xx
1812,Mohd. Rus bin Jaafar,M,Malay,xxxx-xx-xx
1813,Richard Ho Ung Hun,M,Chinese,1927-01-20
1814,Hew Chai Kee,M,Chinese,xxxx-xx-xx
1815,Lim Cho Hock,M,Chinese,xxxx-xx-xx
1816,Adnan bin Mohd. Hashim,M,Malay,xxxx-xx-xx
1817,Fan Yew Teng,M,Chinese,xxxx-xx-xx
1818,Abdul Kadir bin Sohor,M,Malay,xxxx-xx-xx
1819,Keoh Cheng See,M,Chinese,xxxx-xx-xx
1820,Abu Samah bin Majid,M,Malay,xxxx-xx-xx
1821,Chan Fu King,M,Chinese,xxxx-xx-xx
1822,Maslan bin Abdullah,M,Malay,xxxx-xx-xx
1823,Mohamad Sayoti bin Mohamed Elham,M,Malay,xxxx-xx-xx
1824,Hamzah bin Abu Samah,M,Malay,1924-01-05
1825,Mohamed bin Taib,M,Malay,1916-06-15
1826,Dzulkifli Ismail,M,Malay,xxxx-xx-xx
1827,Tengku Kamarulzaman bin Tengku Abdul Hamid,M,Malay,xxxx-xx-xx
1828,Yazid Jaafar,M,Malay,1927-xx-xx
1829,Mohamad Din Sandang,M,Malay,xxxx-xx-xx
1830,Satar bin Dahan,M,Malay,xxxx-xx-xx
1831,Md. Dali bin Muin,M,Malay,xxxx-xx-xx
1832,Au Keng Wah,M,Chinese,xxxx-xx-xx
1833,Shariff Ahmad,M,Malay,xxxx-xx-xx
1834,Loh Chee Foom,M,Chinese,xxxx-xx-xx
1835,Walter Loh Poh Khan,M,Chinese,xxxx-xx-xx
1836,Teh Hock Heng,M,Chinese,xxxx-xx-xx
1837,Lew Sip Hon,M,Chinese,1925-xx-xx
1838,Yeoh Teck Chye,M,Chinese,xxxx-xx-xx
1839,Hor Cheok Foon,M,Chinese,1937-xx-xx
1840,Michael Chen Wing Sum,M,Chinese,1932-06-26
1841,Lee Lam Thye,M,Chinese,1946-12-30
1842,Oh Keng Seng,M,Chinese,1943-xx-xx
1843,Hassan Shukri,M,Malay,1938-xx-xx
1844,Liong Ah Nai,M,Chinese,xxxx-xx-xx
1845,Tunku Abdul Rahim bin Tunku Muda Chik,M,Malay,1913-xx-xx
1846,Dennis Chen Man Hin,M,Chinese,1924-11-14
1847,Wong Seng Chow,M,Chinese,xxxx-xx-xx
1848,Soorian Arjunan,M,Indian,xxxx-xx-xx
1849,Mansor bin Abu Bakar,M,Malay,xxxx-xx-xx
1850,Wong Tai Oon,M,Chinese,xxxx-xx-xx
1851,Sinnathamby Seeveratnam,M,Indian,xxxx-xx-xx
1852,Tai Kon Chin,M,Chinese,xxxx-xx-xx
1853,Tan Kee Jon,M,Chinese,xxxx-xx-xx
1854,Lim Kit Siang,M,Chinese,1941-02-20
1855,Koh Kim Leng,M,Chinese,1921-05-19
1856,Ali bin Md. Salleh,M,Malay,xxxx-xx-xx
1857,Ahmad bin Ithnin,M,Malay,1930-08-14
1858,Gan Hong Hui,M,Chinese,xxxx-xx-xx
1859,Syed Nasir bin Ismail,M,Malay,1921-03-07
1860,Abdul Rahman bin Abdul Ransol,M,Malay,xxxx-xx-xx
1861,Khoo Sin Geok,M,Chinese,xxxx-xx-xx
1862,Lee Kaw,M,Chinese,1939-10-05
1863,Tunku Mohamed Archibald bin Tunku Ahmad,M,Malay,1923-xx-xx
1864,Yusoff bin Hakingak,M,Malay,1920-xx-xx
1865,Chu Chee Peng,M,Chinese,xxxx-xx-xx
1866,Lee Kuo Ming,M,Chinese,xxxx-xx-xx
1867,Hussein bin Onn,M,Malay,1922-02-12
1868,Lee Ah Meng,M,Chinese,1931-xx-xx
1869,Mohamed bin Rahmat,M,Malay,1938-01-04
1870,Daeng Ibrahim bin Othman,M,Malay,xxxx-xx-xx
1871,Musa bin Hitam,M,Malay,1934-04-18
1872,Tan Thian San,M,Chinese,1938-04-27
1873,Baudi bin Unggut,M,Bumi Sabah,xxxx-xx-xx
1874,Majuning bin Majun (Mohd Omar),M,Bumi Sabah,xxxx-xx-xx
1875,Maidin bin Sabidol,M,Bumi Sabah,xxxx-xx-xx
1876,Pinah Sarigan,M,Bumi Sabah,xxxx-xx-xx
1877,Awang Din bin Abdul Razak,M,Bumi Sabah,xxxx-xx-xx
1878,Buja bin Gumbilai,M,Bumi Sabah,1923-xx-xx
1879,William Lye Chee Hien,M,Chinese,1929-09-24
1880,James Stephen Tibok,M,Bumi Sabah,xxxx-xx-xx
1881,Tahir bin Patera,M,Bumi Sabah,xxxx-xx-xx
1882,Cleophas John Majakil,M,Bumi Sabah,xxxx-xx-xx
1883,Abdul Rashid bin Jais,M,Bumi Sabah,xxxx-xx-xx
1884,Mohamed Arif bin Salleh,M,Bumi Sabah,xxxx-xx-xx
1885,Ajad bin Oyung,M,Bumi Sabah,xxxx-xx-xx
1886,Pengiran Ahmad bin Indar,M,Bumi Sabah,xxxx-xx-xx
1887,Mohamad Salleh bin Panglima Abdullah,M,Bumi Sabah,xxxx-xx-xx
1888,Yeh Pao Tzu,M,Chinese,xxxx-xx-xx
1889,Sinyium anak Mutit,M,Bumi Sarawak,xxxx-xx-xx
1890,Lee Nyan Choi,M,Chinese,1931-06-25
1891,John Loyar anak Nyibai,M,Bumi Sarawak,xxxx-xx-xx
1892,Lawrence Kureng anak Lasif,M,Bumi Sarawak,xxxx-xx-xx
1893,Ong Kee Hui,M,Chinese,1914-08-19
1894,Kenneth Lau Ah Lah,M,Chinese,xxxx-xx-xx
1895,Kai Yan,M,Chinese,xxxx-xx-xx
1896,Awang Wal bin Awang Abu,M,Bumi Sarawak,xxxx-xx-xx
1897,Ho Ho Lim,M,Chinese,xxxx-xx-xx
1898,Ngu Kuang Kee,M,Chinese,xxxx-xx-xx
1899,Abdul Taib bin Mahmud,M,Bumi Sarawak,1936-05-21
