slug,date,from,to,type
n30-balai-ringin-sarawak,,,,
n31-bukit-begunan-sarawak,,,,
n32-simanggang-sarawak,,,,
n33-engkilili-sarawak,,,,
n34-batang-ai-sarawak,,,,
n35-saribas-sarawak,,,,
n36-layar-sarawak,,,,
n37-bukit-saban-sarawak,,,,
n38-kalaka-sarawak,,,,
n39-krian-sarawak,,,,
n40-kabong-sarawak,,,,
n41-kuala-rajang-sarawak,,,,
n42-semop-sarawak,,,,
n43-daro-sarawak,,,,
n44-jemoreng-sarawak,,,,
n45-repok-sarawak,,,,
n46-meradong-sarawak,,,,
n47-pakan-sarawak,,,,
n48-meluan-sarawak,,,,
n49-ngemah-sarawak,,,,
n50-machan-sarawak,,,,
n51-bukit-assek-sarawak,,,,
n52-dudong-sarawak,,,,
n53-bawang-assan-sarawak,,,,
n54-pelawan-sarawak,,,,
n55-nangka-sarawak,,,,
n56-dalat-sarawak,,,,
n57-tellian-sarawak,,,,
n58-balingian-sarawak,,,,
n59-tamin-sarawak,,,,
n60-kakus-sarawak,,,,
n61-pelagus-sarawak,,,,
n62-katibas-sarawak,,,,
n63-bukit-goram-sarawak,,,,
n64-baleh-sarawak,,,,
n65-belaga-sarawak,,,,
n66-murum-sarawak,,,,
n67-jepak-sarawak,,,,
n68-tanjong-batu-sarawak,,,,
n69-kemena-sarawak,,,,
n70-samalaju-sarawak,,,,
n71-bekenu-sarawak,,,,
n72-lambir-sarawak,,,,
n73-piasau-sarawak,,,,
n74-pujut-sarawak,,,,
n75-senadin-sarawak,,,,
n76-marudi-sarawak,,,,
n77-telang-usan-sarawak,,,,
n78-mulu-sarawak,,,,
n79-bukit-kota-sarawak,,,,
n80-batu-danau-sarawak,,,,
n81-bakelalan-sarawak,,,,
n82-bukit-sari-sarawak,,,,
n01-sungai-air-tawar-selangor,,,,
n02-sabak-selangor,,,,
n03-sungai-panjang-selangor,,,,
n04-sekinchan-selangor,,,,
n05-hulu-bernam-selangor,,,,
n06-kuala-kubu-baharu-selangor,,,,
n07-batang-kali-selangor,,,,
n08-sungai-burong-selangor,,,,
n09-permatang-selangor,,,,
n10-bukit-melawati-selangor,,,,
n11-ijok-selangor,,,,
n12-jeram-selangor,,,,
n13-kuang-selangor,,,,
n14-rawang-selangor,,,,
n15-taman-templer-selangor,,,,
n16-sungai-tua-selangor,,,,
n17-gombak-setia-selangor,,,,
n18-hulu-kelang-selangor,,,,
n19-bukit-antarabangsa-selangor,,,,
n20-lembah-jaya-selangor,,,,
n21-pandan-indah-selangor,,,,
n22-teratai-selangor,,,,
n23-dusun-tua-selangor,,,,
n24-semenyih-selangor,,,,
n25-kajang-selangor,,,,
n26-sungai-ramal-selangor,,,,
n27-balakong-selangor,,,,
n28-seri-kembangan-selangor,,,,
n29-seri-serdang-selangor,,,,
n30-kinrara-selangor,,,,
n31-subang-jaya-selangor,,,,
n32-seri-setia-selangor,,,,
n33-taman-medan-selangor,,,,
n34-bukit-gasing-selangor,,,,
n35-kampung-tunku-selangor,,,,
n36-bandar-utama-selangor,,,,
n37-bukit-lanjan-selangor,,,,
n38-paya-jaras-selangor,,,,
n39-kota-damansara-selangor,,,,
n40-kota-anggerik-selangor,,,,
n41-batu-tiga-selangor,,,,
n42-meru-selangor,,,,
n43-sementa-selangor,,,,
n44-selat-klang-selangor,,,,
n45-bandar-baru-klang-selangor,,,,
n46-pelabuhan-klang-selangor,,,,
n47-pandamaran-selangor,,,,
n48-sentosa-selangor,,,,
n49-sungai-kandis-selangor,,,,
n50-kota-kemuning-selangor,,,,
n51-sijangkang-selangor,,,,
n52-banting-selangor,,,,
n53-morib-selangor,,,,
n54-tanjong-sepat-selangor,,,,
n55-dengkil-selangor,,,,
n56-sungai-pelek-selangor,,,,
n01-kuala-besut-terengganu,,,,
n02-kota-putera-terengganu,,,,
n03-jertih-terengganu,,,,
n04-hulu-besut-terengganu,,,,
n05-jabi-terengganu,,,,
n06-permaisuri-terengganu,,,,
n07-langkap-terengganu,,,,
n08-batu-rakit-terengganu,,,,
n09-tepuh-terengganu,,,,
n10-buluh-gading-terengganu,,,,
n11-seberang-takir-terengganu,,,,
n12-bukit-tunggal-terengganu,,,,
n13-wakaf-mempelam-terengganu,,,,
n14-bandar-terengganu,,,,
n15-ladang-terengganu,,,,
n16-batu-buruk-terengganu,,,,
n17-alur-limbat-terengganu,,,,
n18-bukit-payung-terengganu,,,,
n19-ru-rendang-terengganu,,,,
n20-pengkalan-berangan-terengganu,,,,
n21-telemung-terengganu,,,,
n22-manir-terengganu,,,,
n23-kuala-berang-terengganu,,,,
n24-ajil-terengganu,,,,
n25-bukit-besi-terengganu,,,,
n26-rantau-abang-terengganu,,,,
n27-sura-terengganu,,,,
n28-paka-terengganu,,,,
n29-kemasik-terengganu,,,,
n30-kijal-terengganu,,,,
n31-cukai-terengganu,,,,
n32-air-putih-terengganu,,,,
